Timestamp,I consent to participating in this research.,What is your primary area of study?,"1. In the past year, was the clothing you bought:","2. In the past year, how often did you buy clothing (including purchases, gifts, and secondhand)?",3. Average price: How much do you typically spend on a single shirt/top? ($),"4. Disposal method: When getting rid of clothes, what do you usually do? ","5. When getting rid of clothes, what is the primary reason for doing so? (Select up to 2)"
2/23/2026 10:03:26,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 10:03:27,Yes,Business ,About equal new and secondhand,Every few months,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:03:27,Yes,Biological Sciences,"Mostly new, some secondhand",Every few months,15-35,"Sell (eBay, yard sale)",Don't like it anymore
2/23/2026 10:03:28,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:03:32,Yes,Social Sciences,Almost always new,About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:34,Yes,Data Science,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),Torn/Broken
2/23/2026 10:03:37,Yes,Data Science,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:39,Yes,Engineering,About equal new and secondhand,About once a year,15-35,Throw away (Trash/Landfill),Don't like it anymore
2/23/2026 10:03:41,Yes,Social Sciences,About equal new and secondhand,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:43,Yes,Physical Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:03:48,Yes,Arts & Humanities,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/23/2026 10:03:51,Yes,Math and computer science ,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:03:54,Yes,cognitive science ml,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:58,Yes,Social Sciences,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:59,Yes,Math-CS,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:04:09,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 10:04:11,Yes,Engineering,Almost always new,About once a year,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:04:13,Yes,Data Science,Almost always secondhand,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/23/2026 10:04:22,Yes,Engineering,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:04:29,Yes,Physical Sciences,"Mostly secondhand, some new",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 10:05:06,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 10:05:34,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:06:21,Yes,Engineering,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:11:37,Yes,Social Sciences,Almost always new,About once per month,35-75,Throw away (Trash/Landfill),"Don't like it anymore, Freeing up space"
2/23/2026 10:14:30,Yes,Computer science,"Mostly secondhand, some new",About once a year,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:18:02,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:40:02,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:41:22,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 11:05:43,Yes,Physical Sciences,Almost always new,About once a year,75+,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 11:06:48,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 11:45:57,Yes,Engineering,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 13:47:39,Yes,Engineering,Almost always new,About once a year,35-75,Throw away (Trash/Landfill),Torn/Broken
2/23/2026 14:02:41,Yes,Engineering,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:02:54,Yes,Biological Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:03:16,Yes,Social Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:03:21,Yes,Social Sciences,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:03:21,Yes,Arts & Humanities,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/23/2026 14:03:28,Yes,Engineering,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:03:38,Yes,Cognitive science ,Almost always new,About once per month,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:03:37,Yes,Math & Computer Science,About equal new and secondhand,About once per month,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:03:39,Yes,Engineering,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:03:40,Yes,Data Science,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:03:42,Yes,Physical Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:03:47,Yes,Biological Sciences,Almost always secondhand,Every few months,75+,"Sell (eBay, yard sale)",Don't like it anymore
2/23/2026 14:03:48,Yes,Health Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:03:50,Yes,Data Science,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:03:51,Yes,Social Sciences,Almost always new,About once per month,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:03:54,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:03:54,Yes,Cogsci,Almost always new,About once per month,35-75,"Donate (Thrift store, handing down)",Don't like it anymore
2/23/2026 14:03:58,Yes,Data Science,Almost always secondhand,Every few years,0-5,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:01,Yes,Engineering,Almost always new,About once a year,5-15,Throw away (Trash/Landfill),Torn/Broken
2/23/2026 14:04:04,Yes,Cognitive Science,About equal new and secondhand,About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:04:07,Yes,Social Sciences,Almost always new,Every few months,5-15,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:04:12,Yes,Engineering,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/23/2026 14:04:13,Yes,Engineering,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),Torn/Broken
2/23/2026 14:04:15,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:15,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:16,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:04:17,Yes,Social Sciences,Almost always new,About once per month,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:04:18,Yes,Social Sciences,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:04:24,Yes,Social Sciences,"Mostly new, some secondhand",About once a year,15-35,"Sell (eBay, yard sale)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:26,Yes,Engineering,Almost always new,About once per month,75+,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:04:26,Yes,Social Sciences,Almost always new,Every few years,35-75,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:04:32,Yes,Data Science,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:34,Yes,Engineering,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/23/2026 14:04:37,Yes,Biological Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:04:38,Yes,Physical Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 14:04:39,Yes,Data science,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:04:43,Yes,Social Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)",Don't like it anymore
2/23/2026 14:05:07,Yes,Economy,Almost always new,About once a year,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:05:20,Yes,Social Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/23/2026 14:05:31,Yes,Data Science,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:07:10,Yes,Physical Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:07:42,Yes,Health Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)",Torn/Broken
2/23/2026 14:07:50,Yes,Engineering,Almost always new,About once a year,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:08:06,Yes,Math and Education,"Mostly secondhand, some new",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:11:41,Yes,Biological Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 14:18:58,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 14:21:56,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)",Doesn't fit anymore
2/23/2026 14:23:23,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 14:25:53,Yes,Engineering,Almost always new,Every few months,35-75,give to a sibling/friend,"Don't like it anymore, Freeing up space"
2/23/2026 14:28:04,Yes,Arts & Humanities,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/23/2026 14:30:55,Yes,Engineering,Almost always new,About once per month,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 14:39:14,Yes,Math,Almost always secondhand,Every few years,35-75,"Sell (eBay, yard sale)","Torn/Broken, Don't like it anymore"
2/23/2026 14:43:45,Yes,Arts & Humanities,Almost always new,Every few months,15-35,Give to my little brother ,Doesn't fit anymore
2/23/2026 14:56:56,Yes,Social Sciences,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 16:11:56,Yes,Engineering,Almost always secondhand,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 16:16:39,Yes,Health Sciences,"Mostly secondhand, some new",Every few years,15-35,Throw away (Trash/Landfill),Doesn't fit anymore
2/23/2026 16:54:03,Yes,Biological Sciences,"Mostly new, some secondhand",About once per month,15-35,"Sell (eBay, yard sale)",Freeing up space
2/23/2026 18:14:50,Yes,Arts & Humanities,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 19:17:00,Yes,Social Sciences,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/24/2026 13:21:19,Yes,Biological Sciences,Almost always new,About once per month,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Don't like it anymore"
2/24/2026 17:35:46,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","[""Don't like it anymore"", ""Freeing up space""].   Oh and by the way, if you're still looking for respondents, surveyswap.io really helped me when I was running a survey myself last year. You fill in surveys from others and get free respondents in return. Perhaps it's also helpful to you. Anyway, good luck with the study!"
2/24/2026 22:49:30,Yes,Engineering,Almost always new,About once a year,35-75,Throw away (Trash/Landfill),Torn/Broken
2/25/2026 12:48:09,Yes,Math,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/25/2026 19:51:06,Yes,Arts & Humanities,"Mostly new, some secondhand",Every few months,0-5,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/25/2026 20:11:44,Yes,Arts & Humanities,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/25/2026 20:57:43,Yes,Social science + arts & humanities,Almost always new,Every few months,75+,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/25/2026 21:34:55,Yes,Arts & Humanities,"Mostly secondhand, some new",Every few months,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/25/2026 22:55:06,Yes,Business (Accounting),Almost always secondhand,Every few months,5-15,Donate if still good; use as rags at home if not,"Torn/Broken, Doesn't fit anymore"
2/25/2026 22:59:50,Yes,Arts & Humanities,"Mostly new, some secondhand",About once per month,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/26/2026 0:22:53,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/26/2026 4:05:41,Yes,Biological Sciences,Almost always secondhand,About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/26/2026 17:22:13,Yes,Biological Sciences,"Mostly new, some secondhand",Every few years,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/26/2026 18:30:34,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/27/2026 3:30:48,Yes,Social Sciences,About equal new and secondhand,About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/27/2026 21:26:36,Yes,Engineering,"Mostly secondhand, some new",About once a year,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/28/2026 4:23:54,Yes,"Religious sciences (maybe the translation is not right, I study different religions)","Mostly new, some secondhand",Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
3/1/2026 20:21:05,Yes,Engineering,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)",Freeing up space
3/2/2026 16:48:40,Yes,Engineering,"Mostly secondhand, some new",About once per month,5-15,"Sell (eBay, yard sale)","Torn/Broken, Selling for money"
3/2/2026 17:54:07,Yes,Health Sciences,Almost always secondhand,About once a year,0-5,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
3/4/2026 5:16:47,Yes,Social Sciences,Almost always secondhand,Every few months,0-5,Textile recycling program,"Doesn't fit anymore, Freeing up space"
